	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	133	339	95	91	95
CR2	133	0	236	220	216	220
MA1	339	236	0	356	342	356
MA2	95	220	356	0	103	0
MM1	91	216	342	103	0	103
MM2	95	220	356	0	103	0
