	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	301	177	306	178	155
CR2	301	0	300	146	302	304
MA1	177	300	0	302	117	179
MA2	306	146	302	0	309	311
MM1	178	302	117	309	0	127
MM2	155	304	179	311	127	0
