	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	57	16	62	1858	1870
CR2	57	0	55	20	1867	1879
MA1	16	55	0	60	1859	1870
MA2	62	20	60	0	1873	1885
MM1	1858	1867	1859	1873	0	46
MM2	1870	1879	1870	1885	46	0
