	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	100	79	99	47	48
CR2	100	0	78	49	105	105
MA1	79	78	0	53	54	74
MA2	99	49	53	0	106	108
MM1	47	105	54	106	0	36
MM2	48	105	74	108	36	0
