	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	214	97	219	97	77
CR2	214	0	228	39	228	234
MA1	97	228	0	232	0	88
MA2	219	39	232	0	232	239
MM1	97	228	0	232	0	88
MM2	77	234	88	239	88	0
