	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	151	62	157	62	75
CR2	151	0	154	61	154	147
MA1	62	154	0	160	0	69
MA2	157	61	160	0	160	153
MM1	62	154	0	160	0	69
MM2	75	147	69	153	69	0
