	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	401	394	158	394	393
CR2	401	0	166	410	166	144
MA1	394	166	0	399	0	125
MA2	158	410	399	0	399	400
MM1	394	166	0	399	0	125
MM2	393	144	125	400	125	0
