	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	284	132	261	139	128
CR2	284	0	280	109	266	292
MA1	132	280	0	224	138	119
MA2	261	109	224	0	259	247
MM1	139	266	138	259	0	155
MM2	128	292	119	247	155	0
