	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	177	59	175	48	59
CR2	177	0	170	25	172	170
MA1	59	170	0	168	57	0
MA2	175	25	168	0	170	168
MM1	48	172	57	170	0	57
MM2	59	170	0	168	57	0
