	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	85	56	23	23	27
CR2	85	0	37	90	90	89
MA1	56	37	0	61	61	63
MA2	23	90	61	0	0	26
MM1	23	90	61	0	0	26
MM2	27	89	63	26	26	0
