	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	141	222	75	215	213
CR2	141	0	161	132	143	148
MA1	222	161	0	229	95	95
MA2	75	132	229	0	215	216
MM1	215	143	95	215	0	90
MM2	213	148	95	216	90	0
