	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	372	326	383	326	305
CR2	372	0	444	206	449	444
MA1	326	444	0	439	221	33
MA2	383	206	439	0	438	439
MM1	326	449	221	438	0	188
MM2	305	444	33	439	188	0
