	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	157	163	47	157	163
CR2	157	0	71	156	0	71
MA1	163	71	0	160	71	0
MA2	47	156	160	0	156	160
MM1	157	0	71	156	0	71
MM2	163	71	0	160	71	0
