	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	258	278	81	274	277
CR2	258	0	157	252	174	167
MA1	278	157	0	271	151	183
MA2	81	252	271	0	268	271
MM1	274	174	151	268	0	151
MM2	277	167	183	271	151	0
