	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	160	106	187	269	254
CR2	160	0	136	223	178	165
MA1	106	136	0	109	210	200
MA2	187	223	109	0	183	181
MM1	269	178	210	183	0	68
MM2	254	165	200	181	68	0
