	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	75	20	76	18	20
CR2	75	0	72	19	74	72
MA1	20	72	0	73	26	0
MA2	76	19	73	0	74	73
MM1	18	74	26	74	0	26
MM2	20	72	0	73	26	0
