	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	102	109	13	109	113
CR2	102	0	25	102	25	24
MA1	109	25	0	109	0	29
MA2	13	102	109	0	109	113
MM1	109	25	0	109	0	29
MM2	113	24	29	113	29	0
