	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	201	83	222	83	76
CR2	201	0	196	61	196	198
MA1	83	196	0	210	0	83
MA2	222	61	210	0	210	210
MM1	83	196	0	210	0	83
MM2	76	198	83	210	83	0
