	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	99	95	6	2451	2452
CR2	99	0	44	97	2444	2445
MA1	95	44	0	93	2452	2453
MA2	6	97	93	0	2451	2452
MM1	2451	2444	2452	2451	0	54
MM2	2452	2445	2453	2452	54	0
