	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	248	118	240	0	132
CR2	248	0	249	87	248	255
MA1	118	249	0	240	118	114
MA2	240	87	240	0	240	244
MM1	0	248	118	240	0	132
MM2	132	255	114	244	132	0
