	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	297	152	303	165	152
CR2	297	0	295	88	315	295
MA1	152	295	0	310	152	0
MA2	303	88	310	0	324	310
MM1	165	315	152	324	0	152
MM2	152	295	0	310	152	0
