	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	144	218	49	217	236
CR2	144	0	152	167	124	166
MA1	218	152	0	215	118	128
MA2	49	167	215	0	217	233
MM1	217	124	118	217	0	139
MM2	236	166	128	233	139	0
