	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	174	75	167	62	55
CR2	174	0	177	53	175	160
MA1	75	177	0	170	72	52
MA2	167	53	170	0	168	153
MM1	62	175	72	168	0	53
MM2	55	160	52	153	53	0
