	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	276	288	47	288	287
CR2	276	0	121	279	121	132
MA1	288	121	0	293	0	105
MA2	47	279	293	0	293	290
MM1	288	121	0	293	0	105
MM2	287	132	105	290	105	0
