	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	324	132	329	102	134
CR2	324	0	332	73	314	327
MA1	132	332	0	337	126	142
MA2	329	73	337	0	321	332
MM1	102	314	126	321	0	126
MM2	134	327	142	332	126	0
