	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	291	172	288	172	175
CR2	291	0	286	86	286	278
MA1	172	286	0	292	0	45
MA2	288	86	292	0	292	284
MM1	172	286	0	292	0	45
MM2	175	278	45	284	45	0
