	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	264	263	48	263	298
CR2	264	0	104	256	104	154
MA1	263	104	0	256	0	143
MA2	48	256	256	0	256	291
MM1	263	104	0	256	0	143
MM2	298	154	143	291	143	0
