	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	244	88	248	88	81
CR2	244	0	237	61	237	244
MA1	88	237	0	242	0	88
MA2	248	61	242	0	242	247
MM1	88	237	0	242	0	88
MM2	81	244	88	247	88	0
