	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	359	179	358	167	179
CR2	359	0	370	96	372	370
MA1	179	370	0	369	172	0
MA2	358	96	369	0	373	369
MM1	167	372	172	373	0	172
MM2	179	370	0	369	172	0
