	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	262	145	272	155	150
CR2	262	0	284	82	291	290
MA1	145	284	0	297	127	133
MA2	272	82	297	0	304	304
MM1	155	291	127	304	0	85
MM2	150	290	133	304	85	0
