	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	271	250	51	266	280
CR2	271	0	122	263	120	114
MA1	250	122	0	236	142	36
MA2	51	263	236	0	258	272
MM1	266	120	142	258	0	128
MM2	280	114	36	272	128	0
