	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	264	264	93	254	248
CR2	264	0	155	277	125	138
MA1	264	155	0	279	130	153
MA2	93	277	279	0	265	269
MM1	254	125	130	265	0	150
MM2	248	138	153	269	150	0
