	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	228	87	233	96	87
CR2	228	0	236	85	243	236
MA1	87	236	0	242	97	0
MA2	233	85	242	0	245	242
MM1	96	243	97	245	0	97
MM2	87	236	0	242	97	0
