	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	325	232	242	166	169
CR2	325	0	194	206	319	321
MA1	232	194	0	301	137	227
MA2	242	206	301	0	164	223
MM1	166	319	137	164	0	143
MM2	169	321	227	223	143	0
