	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	258	90	252	90	108
CR2	258	0	258	67	258	263
MA1	90	258	0	257	0	126
MA2	252	67	257	0	257	260
MM1	90	258	0	257	0	126
MM2	108	263	126	260	126	0
