	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	275	174	280	280	282
CR2	275	0	229	205	205	186
MA1	174	229	0	313	313	312
MA2	280	205	313	0	0	210
MM1	280	205	313	0	0	210
MM2	282	186	312	210	210	0
