	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	319	228	328	186	197
CR2	319	0	316	140	318	321
MA1	228	316	0	323	176	135
MA2	328	140	323	0	325	330
MM1	186	318	176	325	0	162
MM2	197	321	135	330	162	0
