	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	161	82	162	82	60
CR2	161	0	159	41	159	164
MA1	82	159	0	154	0	75
MA2	162	41	154	0	154	165
MM1	82	159	0	154	0	75
MM2	60	164	75	165	75	0
