	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	170	102	171	90	102
CR2	170	0	163	17	171	163
MA1	102	163	0	162	79	0
MA2	171	17	162	0	172	162
MM1	90	171	79	172	0	79
MM2	102	163	0	162	79	0
