	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	331	168	338	162	189
CR2	331	0	324	116	326	341
MA1	168	324	0	318	16	181
MA2	338	116	318	0	334	347
MM1	162	326	16	334	0	165
MM2	189	341	181	347	165	0
