	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	205	120	215	114	120
CR2	205	0	250	53	245	250
MA1	120	250	0	254	103	0
MA2	215	53	254	0	252	254
MM1	114	245	103	252	0	103
MM2	120	250	0	254	103	0
