	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	283	102	280	102	158
CR2	283	0	265	94	265	279
MA1	102	265	0	259	0	142
MA2	280	94	259	0	259	270
MM1	102	265	0	259	0	142
MM2	158	279	142	270	142	0
