	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	288	260	161	149	199
CR2	288	0	136	283	291	298
MA1	260	136	0	237	272	271
MA2	161	283	237	0	209	215
MM1	149	291	272	209	0	162
MM2	199	298	271	215	162	0
