	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	183	16	183	69	16
CR2	183	0	187	48	186	187
MA1	16	187	0	185	73	0
MA2	183	48	185	0	182	185
MM1	69	186	73	182	0	73
MM2	16	187	0	185	73	0
