	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	239	167	173	95	98
CR2	239	0	150	194	234	243
MA1	167	150	0	136	126	169
MA2	173	194	136	0	124	184
MM1	95	234	126	124	0	106
MM2	98	243	169	184	106	0
