	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	257	113	259	107	124
CR2	257	0	236	36	264	259
MA1	113	236	0	236	28	131
MA2	259	36	236	0	264	259
MM1	107	264	28	264	0	103
MM2	124	259	131	259	103	0
