	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	123	159	167	0	99
CR2	123	0	134	144	123	154
MA1	159	134	0	45	159	121
MA2	167	144	45	0	167	127
MM1	0	123	159	167	0	99
MM2	99	154	121	127	99	0
