	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	414	439	135	437	443
CR2	414	0	249	413	256	250
MA1	439	249	0	433	273	187
MA2	135	413	433	0	435	440
MM1	437	256	273	435	0	260
MM2	443	250	187	440	260	0
