	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	263	259	60	60	207
CR2	263	0	58	265	265	280
MA1	259	58	0	262	262	280
MA2	60	265	262	0	0	231
MM1	60	265	262	0	0	231
MM2	207	280	280	231	231	0
