	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	288	139	285	141	139
CR2	288	0	289	111	295	289
MA1	139	289	0	278	136	0
MA2	285	111	278	0	278	278
MM1	141	295	136	278	0	136
MM2	139	289	0	278	136	0
