	CR1	CR2	MA1	MA2	MM1	MM2
CR1	0	360	100	144	361	345
CR2	360	0	335	306	196	182
MA1	100	335	0	140	311	326
MA2	144	306	140	0	259	285
MM1	361	196	311	259	0	177
MM2	345	182	326	285	177	0
