Nanopore,Region_MA-MM-CR,Length_3way,Diff_MA-MA,Diff_CR-CR,Diff_MM-MM,Region_MA-MM,Length_MA-MM,Diff_MA-MA,Diff_MM-MM,Region_MA-CR,Length_MA-CR,Diff_MA-MA,Diff_CR_CR,Region_MM-CR,Length_MM-CR,Diff_MM-MM,Diff_CR-CR
5f302095-deb5-4b44-8e48-3990a1cdc2ee,208,4768,74,70,47,391,8568,139,83,264,7715,173,170,447,3441,45,71
8f5f4976-ca87-486e-9904-c8f6986e1ccf,,,,,,,,,,,,,,657,7560,67,78
06e76144-c095-46b8-9981-07a92257789f,15,11240,206,80,108,29,9314,195,105,17,9264,199,77,25,9319,103,79
e689e42e-1dce-4d1f-b24c-56cfcadd6252,,,,,,,,,,,,,,1068,18532,177,79
bd6d4495-e5cc-4920-aebb-e4d4e3860fbd,,,,,,,,,,,,,,867,11851,76,80
677ea785-19a9-49bb-b154-e3569f68732f,,,,,,,,,,,,,,490,8303,44,82
bd6af4ac-9ed9-4ed2-ba27-dd6253e45956,,,,,,,,,,,,,,866,6860,0,83
cc824020-a976-4fb4-8638-57e79a2f0dee,,,,,,,,,,,,,,934,4543,20,84
067e7a6a-8ad8-4fed-91f6-300319f2df22,,,,,,,,,,,,,,22,4936,47,85
e4ad1e0e-72e9-4129-bd70-58c6e7c87d65,475,8551,185,100,67,884,9434,175,67,614,12249,312,100,1061,6548,58,92
be101e9f-e50a-469f-9377-e196f41ea9a4,,,,,,,,,,,,,,871,10065,65,92
769d5395-1111-4307-9147-aee45a4e4b59,252,6201,93,100,78,479,8069,127,112,326,6356,108,115,559,5151,76,92
21f66208-0622-4b89-a513-46af4bc5e2cd,77,15195,327,109,196,135,13641,313,182,99,13283,304,91,163,13302,186,92
59e7e587-34c4-45f3-9235-7a036e0a2419,,,,,,,,,,,,,,418,7433,28,93
b92ea6dc-1285-4d22-a038-12dfc94348ff,372,9299,100,100,0,713,9858,186,0,485,7343,110,98,853,8499,0,97
4076ff0a-c162-4a4b-a326-af37ad44ae50,,,,,,,,,,,,,,295,6357,44,97
e4406af1-0ead-40a3-9c5b-b61f1306a8bd,473,7669,99,102,9,,,,,612,7129,102,102,1059,7165,10,98
b6acf875-2d09-4753-a0e3-f24dc098ea6c,,,,,,,,,,,,,,838,6367,44,98
b1043c56-c3e1-486b-bd76-127402dd0191,,,,,,,,,,,,,,813,9359,43,100
a71f515c-bf42-4887-b23b-8811f3d59aad,,,,,,,,,,,,,,774,5683,61,100
e9011fa9-60b2-434a-ae3e-7cdf72f74f1d,483,9877,203,140,87,900,13597,230,114,625,7913,154,101,1081,7922,67,101
b925ac3b-c97b-4053-8a23-8bf748a88fdd,371,8672,99,116,34,712,13251,164,100,484,6661,90,111,852,6641,28,102
6fca745b-29b5-4c2d-9cac-98bf05d29521,,,,,,,,,,,,,,518,7783,53,103
f3ad61e1-59d5-4db5-85c5-09da10c1dc82,,,,,,,,,,,,,,1132,6200,61,103
962abb26-1570-478e-bcb9-49a516bf26b0,,,,,,,,,,,,,,686,13838,123,104
2989b66b-f700-4979-8036-0dcd33452bfd,91,9860,189,121,70,156,11243,185,74,117,8541,178,106,189,8414,67,105
557c5a1d-0405-47d4-8146-913c845ede7c,188,12984,241,110,139,350,20647,373,174,238,11021,214,105,393,11088,129,106
f96ecb04-2901-4a31-baad-0483ac5e4b42,516,14612,118,128,58,963,12671,91,44,669,13489,107,120,1163,12655,45,108
b1e3e7ac-3174-49df-a534-2513e80984a2,358,10976,22,127,64,684,14395,34,66,466,9031,24,113,816,9007,58,108
84a5ac12-7b5a-4b3e-a83c-1534db9b2043,,,,,,,,,,,,,,614,8468,60,108
a5de5f0c-8bcb-4f73-8062-f1f522638c6a,336,8843,119,118,3,,,,,439,7450,95,96,770,7460,3,110
5fe434d1-7b0b-44ad-a592-2d2d2da595a4,,,,,,,,,,,,,,450,11274,50,111
7cc90518-6267-459f-9369-3bbaaa9cbc2f,261,9311,116,146,90,,,,,339,7370,110,113,583,7360,67,112
0e69a9b8-7740-483a-ae09-fa91a44dd13c,31,9551,138,136,49,58,18539,291,107,43,7552,113,112,61,7555,38,113
146c2098-b7ac-4be2-90b5-ccbe0e155282,,,,,,,,,,,,,,97,9893,155,114
81d9f2f8-5e46-4a54-abf7-e83a88e19522,,,,,,,,,,,,,,602,11210,35,115
2d120ee6-ac0d-4a68-b34c-76ddb3609994,101,8821,97,86,53,170,6854,101,43,131,6839,81,72,211,11361,65,115
7dd341f2-82a1-48d7-a85c-241eaf5beb42,264,13931,131,146,54,513,11981,108,43,345,11973,110,116,587,11950,42,116
4d70c5b6-c445-41c5-bce0-69d665201eb7,,,,,,,,,,,,,,356,7532,26,117
ec2df319-5135-4e8c-9be3-cde930715822,484,12197,125,128,40,903,10291,113,27,627,10253,97,105,1091,11797,27,117
d1e0a249-219c-4d60-876d-95c01fd96cc0,,,,,,,,,,,,,,965,10207,127,117
114244a7-fa0b-40a3-8213-252a8230273d,36,12497,282,126,151,69,10575,281,141,51,10712,285,118,74,11205,151,117
851df5ad-b573-4c96-b771-903b8fa0fd9f,,,,,,,,,,,,,,616,9424,37,119
acfd3ee0-14a9-4b29-93ca-db31f7e9180c,348,9735,129,133,48,,,,,454,8163,125,125,797,8213,46,120
ef7d94b4-d946-47a6-92d7-2ca7ab2605c3,493,19008,233,135,135,923,17897,223,117,638,17037,206,120,1110,17046,111,122
2b55948b-7bc4-4a2a-8d7d-41f01289e63c,96,8566,108,116,23,162,11022,114,36,124,6733,85,145,200,6640,21,123
c79d6586-9158-40cc-b8b5-af330626d121,404,9283,171,142,71,766,7986,153,82,526,7705,138,104,918,8221,71,123
a612e61d-a28b-4d65-bc52-09fb5266871c,337,12346,190,126,113,,,,,440,10366,177,114,771,10393,114,123
fdafd2d4-9ee0-47e7-a0aa-a681629933af,525,17359,403,135,176,981,15487,386,158,679,15489,390,124,1184,15474,160,123
fdd247c9-ce99-4791-841d-edef59ea0ec1,,,,,,,,,,,,,,1185,8195,38,124
22aebd9e-c9bc-4005-95fa-e83ec9846fa4,,,,,,,,,,,,,,171,13029,258,124
a21118ee-c4d2-4ee6-a206-3d674ae44be4,322,10461,175,164,58,625,8533,144,41,425,8481,139,122,749,8467,41,126
